lat,lon,type,nom,category,source
33.110871347620744,9.835837306022098,restaurant,Restaurant 1,food,simulé
33.2699890286863,9.577864459270401,restaurant,Restaurant 2,food,simulé
33.01359827716234,9.25349748191498,restaurant,Restaurant 3,food,simulé
32.97000329064109,9.773891021989417,restaurant,Restaurant 4,food,simulé
33.211729330468195,9.658038861792924,restaurant,Restaurant 5,food,simulé
32.953310861313064,9.849903057162045,restaurant,Restaurant 6,food,simulé
33.31470295541577,9.294784611547547,restaurant,Restaurant 7,food,simulé
33.02508575500651,9.273582458725615,restaurant,Restaurant 8,food,simulé
33.07957881617612,9.523711902550557,restaurant,Restaurant 9,food,simulé
33.13642467493278,9.352592164246486,restaurant,Restaurant 10,food,simulé
33.21650921231428,9.241406438724024,restaurant,Restaurant 11,food,simulé
33.07419366976669,9.407646493926098,restaurant,Restaurant 12,food,simulé
33.14716370842874,9.714537229681499,restaurant,Restaurant 13,food,simulé
33.03303101076364,9.516001794173285,restaurant,Restaurant 14,food,simulé
33.20785639861922,9.173227810165201,restaurant,Restaurant 15,food,simulé
33.21459152186152,9.264144211502048,restaurant,Restaurant 16,food,simulé
32.97310503100052,9.834497254940398,restaurant,Restaurant 17,food,simulé
33.37399113721631,9.731552960882636,restaurant,Restaurant 18,food,simulé
33.07974419806827,9.210761085465855,restaurant,Restaurant 19,food,simulé
33.24872864314903,9.461717419495622,restaurant,Restaurant 20,food,simulé
32.998472174172214,9.502037176865427,cafe,Cafe 1,food,simulé
32.95945561231519,9.805505459011732,cafe,Cafe 2,food,simulé
33.059341657866995,9.624661374109966,cafe,Cafe 3,food,simulé
33.082903506895704,9.520276417279879,cafe,Cafe 4,food,simulé
33.1875115034306,9.274644922656233,cafe,Cafe 5,food,simulé
33.375750602805596,9.707178007805478,cafe,Cafe 6,food,simulé
33.36235820268585,9.794885513092185,cafe,Cafe 7,food,simulé
33.21029818453592,9.814704420704622,cafe,Cafe 8,food,simulé
32.983539562268994,9.282799387445689,cafe,Cafe 9,food,simulé
32.96428040222203,9.377580193566487,cafe,Cafe 10,food,simulé
33.11716439499277,9.338024792141479,cafe,Cafe 11,food,simulé
33.31305364599991,9.400605745771987,cafe,Cafe 12,food,simulé
33.069203567036496,9.536857383130338,marketplace,Marketplace 1,food,simulé
33.00687912007977,9.727009572253708,marketplace,Marketplace 2,food,simulé
32.97733345666485,9.862343205927719,marketplace,Marketplace 3,food,simulé
33.28790635931467,9.284801891259798,school,School 1,school,simulé
32.94660596581886,9.736729244868279,school,School 2,school,simulé
33.258799675206426,9.673378917262315,school,School 3,school,simulé
33.28747260296284,9.193447797858255,school,School 4,school,simulé
33.10371596265839,9.224095101100506,school,School 5,school,simulé
33.32835135615284,9.595919433371915,school,School 6,school,simulé
33.09144442210712,9.185763843025608,park,Park 1,park,simulé
33.08257910777456,9.377472471268305,park,Park 2,park,simulé
33.268926135069265,9.606368127779213,park,Park 3,park,simulé
33.339083423678886,9.485211525219581,park,Park 4,park,simulé
