lat,lon,type,status,capacite_litres
36.86905140950779,10.363735144512793,organique,optimisé,240
36.88090682635056,10.321881281468684,organique,optimisé,240
36.88698087873576,10.300159491235394,organique,optimisé,240
36.84373488897346,10.356972091661994,organique,optimisé,240
36.895734006223684,10.289324759543664,organique,optimisé,240
36.90568361126403,10.304665128854262,organique,optimisé,240
36.853760560788274,10.312017379436762,organique,optimisé,240
36.87364380149137,10.310976331215842,organique,optimisé,240
36.85024770885216,10.311049571882817,organique,optimisé,240
36.87557379873736,10.35049207691144,organique,optimisé,240
36.880226955073084,10.335071165508964,organique,optimisé,240
36.88769178815211,10.301319929894984,organique,optimisé,240
36.91499904298026,10.364928562645964,organique,optimisé,240
36.86345730153387,10.29549176912051,organique,optimisé,240
36.87430039949917,10.297441058787582,organique,optimisé,240
36.84183928168922,10.360423632166302,organique,optimisé,240
36.89208998274832,10.312614886087152,organique,optimisé,240
36.88282502234746,10.302466356442041,organique,optimisé,240
36.901098825868885,10.362837915325136,organique,optimisé,240
36.886920198304885,10.36142793880185,organique,optimisé,240
36.85476682899353,10.291296183112843,organique,optimisé,240
36.870182383175155,10.309385922541912,organique,optimisé,240
36.867628466135486,10.31015276077499,organique,optimisé,240
36.85036213799798,10.351853758460322,organique,optimisé,240
36.91803915492804,10.349457581543732,organique,optimisé,240
36.839529969369885,10.352914914276386,organique,optimisé,240
36.897408773443274,10.349379627734875,organique,optimisé,240
36.86776545828354,10.29694752476201,organique,optimisé,240
36.8889520501462,10.314149841988211,organique,optimisé,240
36.863966785737254,10.31369266576214,organique,optimisé,240
36.89009279770841,10.358655019406106,organique,optimisé,240
36.84865573967506,10.344737582977839,organique,optimisé,240
36.88399037580556,10.349355374396364,organique,optimisé,240
36.847719514159465,10.290192334854938,organique,optimisé,240
36.86423667848611,10.328363655293176,organique,optimisé,240
36.85903157833191,10.32050863384285,organique,optimisé,240
36.85739205323933,10.293836392786304,organique,optimisé,240
36.85198590298032,10.362053812187405,organique,optimisé,240
36.88976050052083,10.357394847215017,organique,optimisé,240
36.85401380471088,10.359082719879199,organique,optimisé,240
36.90368341241312,10.35936530399388,organique,optimisé,240
36.847892353962216,10.305912813003355,organique,optimisé,240
36.9045293812738,10.356536446660508,organique,optimisé,240
36.879947984206204,10.321070880251902,organique,optimisé,240
36.84867742938669,10.31468721371229,organique,optimisé,240
36.86494443456166,10.329181249739468,organique,optimisé,240
36.868178568190345,10.365420566617676,organique,optimisé,240
36.85923078366603,10.32745788047139,organique,optimisé,240
36.8618754395502,10.290628955788362,organique,optimisé,240
36.87930252185831,10.2917963001,organique,optimisé,240
36.91174947087733,10.306842951253357,organique,optimisé,240
36.878244420822206,10.366530036328848,organique,optimisé,240
36.89285904379247,10.348607569226298,organique,optimisé,240
36.89734550788895,10.31710065061754,organique,optimisé,240
36.88977057686087,10.33053997472598,organique,optimisé,240
36.905912399647136,10.313340405197739,organique,optimisé,240
36.84235021132438,10.334949435455059,organique,optimisé,240
36.84041522631423,10.328645444663943,organique,optimisé,240
36.890702023232755,10.301627314320399,organique,optimisé,240
36.87002702770404,10.362616399098938,organique,optimisé,240
36.86637350808402,10.296755881699246,organique,optimisé,240
36.90927534827048,10.308313330217212,organique,optimisé,240
36.9044659760161,10.332094064927956,organique,optimisé,240
36.858436383272036,10.295126221424471,organique,optimisé,240
36.911121644573065,10.338326116581861,organique,optimisé,240
36.86702496596901,10.345754454309619,organique,optimisé,240
36.910055113941205,10.35006804366861,organique,optimisé,240
36.845819397199605,10.30060829712757,organique,optimisé,240
36.88760252477277,10.28841376412933,organique,optimisé,240
36.892168341528645,10.288082926707697,organique,optimisé,240
36.88298690314932,10.343029615815416,organique,optimisé,240
36.857029744756844,10.344652337707803,organique,optimisé,240
36.86512017585274,10.347397312409441,organique,optimisé,240
36.90702607283953,10.340287031384028,organique,optimisé,240
36.84658218142625,10.317095264244754,organique,optimisé,240
36.85860737147033,10.365518844380196,organique,optimisé,240
36.91045192441417,10.33816909007978,organique,optimisé,240
36.879299167448416,10.333830310770109,organique,optimisé,240
36.85470763902384,10.34547416922092,organique,optimisé,240
36.84103347731452,10.339315783672573,organique,optimisé,240
36.91432488674823,10.363992286160206,organique,optimisé,240
36.868700896020435,10.288914529322309,organique,optimisé,240
36.87334293186538,10.365010385523494,organique,optimisé,240
36.90732895643739,10.311233911365566,organique,optimisé,240
36.90717913372134,10.313031760412501,organique,optimisé,240
36.883632300996666,10.362570381932862,organique,optimisé,240
36.88469309360715,10.295452119501661,organique,optimisé,240
36.918292508008335,10.298884721218922,organique,optimisé,240
36.909278045754235,10.346939489420336,organique,optimisé,240
36.89528692671897,10.31643729209758,organique,optimisé,240
36.90383709243828,10.352487071574334,organique,optimisé,240
36.912147444204514,10.328585391908875,organique,optimisé,240
36.90295181431734,10.33967511446222,organique,optimisé,240
